Date,Rank,Artist,Monthly Listeners (Millions)
January 2019,7,Calvin Harris,43.3
January 2019,8,J Balvin,42.3
January 2019,9,Marshmello,40.9
January 2019,10,Imagine Dragons,40.8
February 2019,1,Ariana Grande,56.3
February 2019,2,Post Malone,49.7
February 2019,3,Khalid,45.1
February 2019,4,Calvin Harris,43
February 2019,5,Swae Lee,42.8
February 2019,6,Marshmello,41.5
February 2019,7,Drake,41.3
February 2019,8,Selena Gomez,41.2
February 2019,9,Sam Smith,40.7
February 2019,10,J Balvin,39.7
March 2019,1,Ariana Grande,52.6
March 2019,2,J Balvin,50
March 2019,3,Post Malone,48.3
March 2019,4,Khalid,46.2
March 2019,5,Marshmello,45
March 2019,6,Selena Gomez,44.2
March 2019,7,Calvin Harris,42.5
March 2019,8,Drake,42.1
March 2019,9,Swae Lee,40.6
March 2019,10,Sam Smith,39.7
April 2019,1,Khalid,50.3
April 2019,2,Ariana Grande,49.8
April 2019,3,J Balvin,48.1
April 2019,4,Post Malone,47.5
April 2019,5,Billie Eilish,45.2
April 2019,6,Marshmello,44.9
April 2019,7,Swae Lee,41.6
April 2019,8,Calvin Harris,40.7
April 2019,9,Selena Gomez,39.8
April 2019,10,Drake,38.7
May 2019,1,Ed Sheeran,56.27
May 2019,2,Khalid,48.01
May 2019,3,J Balvin,47.06
May 2019,4,Billie Eilish,46.74
May 2019,5,Post Malone,44.5
May 2019,6,Ariana Grande,43.54
May 2019,7,Marshmello,43.49
May 2019,8,Justin Bieber,43.13
May 2019,9,Daddy Yankee,41.05
May 2019,10,Shawn Mendes,40.37
June 2019,1,Ed Sheeran,62.61
June 2019,2,J Balvin,51.99
June 2019,3,Billie Eilish,48.52
June 2019,4,Justin Bieber,48.24
June 2019,5,Khalid,47.04
June 2019,6,Shawn Mendes,45.95
June 2019,7,Daddy Yankee,44.87
June 2019,8,Drake,43.86
June 2019,9,Post Malone,43.32
June 2019,10,Lil Nas X,43.3
July 2019,1,Ed Sheeran,72.61
July 2019,2,Camila Cabello,60.03
July 2019,3,Shawn Mendes,59.47
July 2019,4,Khalid,57.2
July 2019,5,J Balvin,54.89
July 2019,6,Justin Bieber,54.51
July 2019,7,Post Malone,51.99
July 2019,8,Billie Eilish,51.39
July 2019,9,Lil Nas X,48
July 2019,10,Daddy Yankee,47.93
August 2019,1,Ed Sheeran,69.1
August 2019,2,Shawn Mendes,59.6
August 2019,3,Camila Cabello,59.03
August 2019,4,Khalid,56.02
August 2019,5,J Balvin,55.1
August 2019,6,Post Malone,51
August 2019,7,Daddy Yankee,50.3
August 2019,8,Justin Bieber,50.34
August 2019,9,Billie Eilish,48.7
August 2019,10,Ariana Grande,47.06
September 2019,1,Ed Sheeran,67.14
September 2019,2,Post Malone,60.95
September 2019,3,Camila Cabello,60.18
September 2019,4,Shawn Mendes,58.66
September 2019,5,Khalid,55.28
September 2019,6,J Balvin,55.04
September 2019,7,Ariana Grande,48.4
September 2019,8,Daddy Yankee,47.3
September 2019,9,Billie Eilish,47.22
September 2019,10,Justin Bieber,46.04
October 2019,1,Ed Sheeran,65.86
October 2019,2,Post Malone,58.27
October 2019,3,Camilla Cabello,57.54
October 2019,4,Khalid,53.97
October 2019,5,J Balvin,52.69
October 2019,6,Shawn Mendes,51.62
October 2019,7,Justin Bieber,48.51
October 2019,8,Maroon 5,45.74
October 2019,9,Ariana Grande,45.28
October 2019,10,Daddy Yankee,43.5
November 2019,1,Ed Sheeran,62.79
November 2019,2,Post Malone,56.53
November 2019,3,Camila Cabello,54.82
November 2019,4,J Balvin,53.95
November 2019,5,Khalid,53.88
November 2019,6,Maroon 5,49.77
November 2019,7,Ariana Grande,49.67
November 2019,8,Justin Bieber,48.22
November 2019,9,Billie Eilish,47.58
November 2019,10,Shawn Mendes,47.08
December 2019,1,Ed Sheeran,63.82
December 2019,2,Ariana Grande,62.6
December 2019,3,Justin Bieber,58.45
December 2019,4,Post Malone,58.29
December 2019,5,Camila Cabello,57.85
December 2019,6,J Balvin,55.99
December 2019,7,Khalid,53.62
